Update: 174, Reward_mean: 0.914318591531, Loss: [0.11167091131210327]
Update: 175, Reward_mean: 0.526909183691, Loss: [0.036888707429170609]
Update: 176, Reward_mean: 0.572249722387, Loss: [0.10993094742298126]
Update: 177, Reward_mean: 0.476763947319, Loss: [0.086708590388298035]
Update: 178, Reward_mean: 0.702040478367, Loss: [0.062796413898468018]
Update: 179, Reward_mean: 0.762452999811, Loss: [-0.032733313739299774]
Update: 180, Reward_mean: 0.687929467079, Loss: [0.097399190068244934]
Update: 181, Reward_mean: 1.19955948584, Loss: [0.035457644611597061]
Update: 182, Reward_mean: 1.03780808942, Loss: [0.027209367603063583]
Update: 183, Reward_mean: 0.757719266398, Loss: [0.10499964654445648]
Update: 184, Reward_mean: 0.556291209415, Loss: [-0.041351489722728729]
Update: 185, Reward_mean: 0.555885142388, Loss: [0.057663369923830032]
Update: 186, Reward_mean: 0.309603091478, Loss: [0.053223937749862671]
Update: 187, Reward_mean: 0.220886432551, Loss: [0.1128358468413353]
Update: 188, Reward_mean: 0.600693312302, Loss: [0.065434880554676056]
Update: 189, Reward_mean: 0.56957274463, Loss: [0.032678112387657166]
Update: 190, Reward_mean: 0.60831744309, Loss: [0.078983858227729797]
Update: 191, Reward_mean: 0.64865230763, Loss: [0.0286102294921875]
Update: 192, Reward_mean: 0.56064468741, Loss: [0.041798882186412811]
Update: 193, Reward_mean: 0.259870444331, Loss: [0.00409708172082901]
Update: 194, Reward_mean: 0.260760860801, Loss: [0.085705563426017761]
Update: 195, Reward_mean: 0.31569068357, Loss: [0.050046402961015701]
Update: 196, Reward_mean: 0.362815144699, Loss: [0.077139697968959808]
Update: 197, Reward_mean: 0.158590219657, Loss: [0.10259130597114563]
Update: 198, Reward_mean: 0.886473911394, Loss: [0.053186558187007904]
Update: 199, Reward_mean: 1.00734801443, Loss: [0.088114440441131592]
Update: 200, Reward_mean: 0.865620562685, Loss: [0.073765158653259277]
Update: 201, Reward_mean: 0.782403075405, Loss: [0.024733362719416618]
Update: 202, Reward_mean: 0.651653411509, Loss: [0.059639707207679749]
Update: 203, Reward_mean: 0.502908865135, Loss: [0.043746892362833023]
Update: 204, Reward_mean: 0.325388467381, Loss: [0.013423740863800049]
Update: 205, Reward_mean: 0.577243127593, Loss: [0.063357084989547729]
Update: 206, Reward_mean: 0.595802277851, Loss: [0.064684055745601654]
Update: 207, Reward_mean: 0.252209714743, Loss: [0.13916049897670746]
Update: 208, Reward_mean: 0.806120098558, Loss: [0.058103971183300018]
Update: 209, Reward_mean: 0.855427277601, Loss: [0.061003595590591431]
Update: 210, Reward_mean: 0.788655398761, Loss: [0.019303657114505768]
Update: 211, Reward_mean: 0.90989706089, Loss: [0.019586343318223953]
Update: 212, Reward_mean: 0.736791187503, Loss: [0.051067687571048737]
Update: 213, Reward_mean: 0.464690706781, Loss: [0.1078050285577774]
Update: 214, Reward_mean: 0.223124567625, Loss: [0.050996452569961548]
Update: 215, Reward_mean: 0.56378132725, Loss: [0.09365352988243103]
Update: 216, Reward_mean: 0.490955947493, Loss: [-0.0092324912548065186]
Update: 217, Reward_mean: 0.775242248881, Loss: [0.13868486881256104]
Update: 218, Reward_mean: 1.14266744959, Loss: [0.017485560849308968]
Update: 219, Reward_mean: 0.930956653557, Loss: [0.075952388346195221]
Update: 220, Reward_mean: 0.926411204458, Loss: [0.2175784707069397]
Update: 221, Reward_mean: 0.699222059102, Loss: [0.044443190097808838]
Update: 222, Reward_mean: 0.609280584606, Loss: [0.037493433803319931]
Update: 223, Reward_mean: 0.397874870285, Loss: [-8.5896812379360199e-05]
Update: 224, Reward_mean: 0.250402751977, Loss: [0.027897324413061142]
Update: 225, Reward_mean: 0.499754591647, Loss: [0.032837018370628357]
Update: 226, Reward_mean: 0.374262420298, Loss: [0.027837654575705528]
Update: 227, Reward_mean: 0.400544324692, Loss: [0.0027099438011646271]
Update: 228, Reward_mean: 0.933257044181, Loss: [0.16504299640655518]
Update: 229, Reward_mean: 0.891156927345, Loss: [0.078498095273971558]
Update: 230, Reward_mean: 0.608162363237, Loss: [0.094071850180625916]
Update: 231, Reward_mean: 0.600850131579, Loss: [0.12450674176216125]
Update: 232, Reward_mean: 0.651229342242, Loss: [-0.00046620331704616547]
Update: 233, Reward_mean: 0.5661068488, Loss: [-0.00092257559299468994]
Update: 234, Reward_mean: 0.326677391529, Loss: [0.0802498459815979]
Update: 235, Reward_mean: 0.748415584046, Loss: [0.12199343740940094]
Update: 236, Reward_mean: 0.802489755684, Loss: [0.13178029656410217]
Update: 237, Reward_mean: 0.783153809136, Loss: [0.11823917925357819]
Update: 238, Reward_mean: 0.907364190624, Loss: [-0.014564640820026398]
Update: 239, Reward_mean: 0.888342305874, Loss: [0.037368029356002808]
Update: 240, Reward_mean: 0.651982709876, Loss: [0.079476654529571533]
Update: 241, Reward_mean: 0.453400250754, Loss: [-0.043512243777513504]
Update: 242, Reward_mean: 0.335329764929, Loss: [-0.067916393280029297]
Update: 243, Reward_mean: 0.510967733352, Loss: [0.08467516303062439]
Update: 244, Reward_mean: 0.292848829371, Loss: [0.07542882114648819]
Update: 245, Reward_mean: 0.643679457868, Loss: [-0.052531227469444275]
Update: 246, Reward_mean: 0.848375939978, Loss: [0.12903223931789398]
Update: 247, Reward_mean: 1.23093943781, Loss: [0.053837019950151443]
Update: 248, Reward_mean: 0.971321367683, Loss: [-0.013944841921329498]
Update: 249, Reward_mean: 0.852504744366, Loss: [0.093360587954521179]
Update: 250, Reward_mean: 0.657710766705, Loss: [0.048147495836019516]
Update: 251, Reward_mean: 0.617670352725, Loss: [0.059814583510160446]
Update: 252, Reward_mean: 0.604331741252, Loss: [0.069692052900791168]
Update: 253, Reward_mean: 0.739757657419, Loss: [0.020816013216972351]
Update: 254, Reward_mean: 0.460297918301, Loss: [0.0058397687971591949]
Update: 255, Reward_mean: 0.561365701572, Loss: [0.16935893893241882]
Update: 256, Reward_mean: 0.628744487319, Loss: [0.037893533706665039]
Update: 257, Reward_mean: 0.944695136442, Loss: [0.030778905376791954]
Update: 258, Reward_mean: 0.680421604761, Loss: [0.036032062023878098]
Update: 259, Reward_mean: 0.904499160192, Loss: [0.029472885653376579]
Update: 260, Reward_mean: 0.85843865541, Loss: [0.038977868854999542]
Update: 261, Reward_mean: 0.443339179468, Loss: [0.03133678063750267]
